Canada,18
Brazil,1
Italy,5
Bangladesh,22
Afghanistan,1
Sudan,1
Lebanon,1
Nepal,6
Cambodia,1
France,4
Bahamas,1
Democratic Republic of the Congo,4
Georgia,1
Somalia,1
Peru,2
United Kingdom of Great Britain and Northern Ireland,34
Argentina,4
Bolivia,1
Cameroon,11
Malawi,2
Islamic Republic of Iran,1
Ghana,13
Israel,1
Australia,6
Rwanda,1
Philippines,1
Norway,5
Zambia,4
Japan,8
United States of America,127
Djibouti,1
Guatemala,1
Zimbabwe,2
Germany,3
Chile,1
Denmark,2
Belgium,8
Thailand,2
Kazakhstan,1
Sierra Leone,4
Spain,4
Nigeria,36
Netherlands,9
Libyan Arab Jamahiriya,1
Gambia,1
Turkey,1
Indonesia,1
Mali,1
Moldova,1
Swaziland,1
Russian Federation,2
Sweden,3
United Republic of Tanzania,5
Switzerland,13
Russia,1
Bulgaria,1
Pakistan,17
Ethiopia,3
South Africa,8
Egypt,3
Republic of Korea,2
Singapore,1
India,67
Senegal,1
China,1
Mozambique,1
Uganda,14
Greece,1
Burundi,1
Kenya,10
